,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,year_birth,role_department,remote_work
60,36,no,n/a,802,n/a,5,2,n/a,3040,4,male,62,3,2,laboratory technician,2,single,5914,9945,8,no,16,4,0,16,3,4,13,3,7,1987,n/a,yes
61,37,no,n/a,1063,n/a,25,5,n/a,5290,2,female,72,3,2,research scientist,3,married,6477,23866,3,yes,15,1,2,15,2,3,13,10,7,1986,n/a,no
62,35,no,n/a,1017,n/a,6,4,n/a,6910,2,male,82,1,2,research scientist,4,n/a,6646,19368,1,n/a,13,2,0,11,3,3,17,11,8,1988,n/a,yes
63,33,no,travel_frequently,1296,n/a,6,3,life sciences,6920,3,male,0,3,2,healthcare representative,4,divorced,6477,5335,3,no,23,3,1,15,2,1,13,4,7,1990,n/a,no
64,50,no,travel_rarely,939,research & development,24,3,n/a,10050,4,male,0,3,4,manufacturing director,3,married,13973,4161,3,yes,18,4,1,22,2,3,12,1,5,1973,manufacturing director  -  research & development,no
65,48,no,travel_rarely,1355,n/a,4,4,n/a,10240,3,male,78,2,3,healthcare representative,3,single,6477,22245,7,n/a,14,2,0,27,3,3,15,4,8,1975,n/a,yes
66,44,no,travel_rarely,1448,sales,28,3,n/a,10390,4,female,53,4,4,sales executive,4,married,13320,11737,3,n/a,18,3,1,11,2,3,12,11,11,1979,sales executive  -  sales,yes
67,44,no,travel_rarely,200,n/a,29,4,n/a,12250,4,male,32,3,2,research scientist,4,single,6477,7744,1,n/a,25,2,0,11,3,3,20,13,17,1979,n/a,yes
68,40,no,n/a,1202,n/a,25,1,n/a,13750,25,female,89,4,2,healthcare representative,3,n/a,6477,13888,5,no,20,2,3,15,0,3,12,11,8,1983,n/a,yes
69,34,no,travel_rarely,404,n/a,2,4,n/a,20702,3,female,98,3,2,healthcare representative,4,single,6687,6163,1,n/a,11,4,0,14,2,4,14,4,11,1989,n/a,yes
70,35,no,non_travel,208,research & development,8,4,n/a,20703,3,female,52,3,2,healthcare representative,3,n/a,6477,12250,1,n/a,12,4,1,11,5,3,14,2,9,1988,healthcare representative  -  research & development,yes
71,50,no,n/a,813,n/a,17,5,life sciences,20704,4,female,50,2,3,research director,1,n/a,6477,21981,5,no,15,3,3,11,3,3,14,1,11,1973,n/a,no
72,49,no,n/a,465,n/a,6,1,life sciences,16610,3,female,41,2,4,healthcare representative,3,n/a,6477,11652,2,n/a,19,2,1,11,3,3,15,2,12,1974,n/a,yes
73,38,no,travel_frequently,1189,n/a,1,3,life sciences,16680,4,male,90,3,2,research scientist,4,n/a,4735,9867,7,no,15,4,2,19,4,2,13,2,9,1985,n/a,yes
74,33,no,n/a,802,n/a,21,3,n/a,16980,2,male,79,4,1,laboratory technician,2,n/a,6477,13637,1,no,18,4,3,14,6,2,14,2,13,1990,n/a,yes
75,47,no,travel_rarely,1001,n/a,4,3,life sciences,20705,3,female,92,2,3,manufacturing director,2,divorced,6477,19271,8,yes,12,3,1,11,4,3,22,14,10,1976,n/a,yes
76,38,no,n/a,1394,research & development,8,3,n/a,19370,4,female,58,2,2,research scientist,2,divorced,6477,18115,1,n/a,16,3,1,20,3,3,20,0,7,1985,research scientist  -  research & development,no
77,37,no,travel_rarely,161,n/a,10,3,life sciences,20170,3,female,42,4,3,research director,4,n/a,6477,15471,1,yes,25,1,1,16,2,3,16,6,8,1986,n/a,yes
78,30,no,n/a,288,n/a,2,3,n/a,1170,3,male,99,2,2,healthcare representative,4,married,6477,15830,1,no,19,1,3,11,3,3,11,10,8,1993,n/a,yes
79,58,no,travel_rarely,682,n/a,18,4,n/a,1310,4,male,37,3,4,sales executive,3,single,13872,24409,0,n/a,13,3,0,38,1,2,37,1,8,1965,n/a,yes
80,34,no,travel_rarely,1354,n/a,5,3,n/a,1530,3,female,45,2,3,manager,1,single,6477,5615,2,n/a,12,4,0,14,6,3,11,5,8,1989,n/a,no
81,58,yes,travel_rarely,147,n/a,23,4,medical,20706,4,female,94,3,3,healthcare representative,4,married,6477,3465,1,n/a,12,4,1,40,3,2,40,15,6,1965,n/a,yes
82,38,no,n/a,119,n/a,3,3,life sciences,20707,1,male,76,3,3,sales executive,3,divorced,6477,9647,0,n/a,12,3,2,11,6,2,16,5,13,1985,n/a,yes
83,29,no,travel_frequently,1413,n/a,1,1,n/a,20708,2,female,42,3,3,sales executive,4,married,6477,6599,1,n/a,14,4,1,11,5,3,11,4,1,1994,n/a,yes
84,55,no,travel_rarely,452,n/a,1,3,medical,20709,4,male,81,3,5,manager,1,single,19045,18938,0,n/a,14,3,0,37,2,3,36,4,13,1968,n/a,yes
85,41,no,n/a,334,n/a,10,4,n/a,20710,4,male,88,3,4,manager,2,n/a,16015,15896,1,n/a,19,2,0,11,2,3,22,0,4,1982,n/a,yes
86,39,no,travel_rarely,1132,research & development,1,3,n/a,20711,3,male,48,4,3,healthcare representative,4,n/a,9613,10942,0,no,17,1,3,19,5,2,18,3,7,1984,healthcare representative  -  research & development,no
87,38,no,n/a,802,n/a,15,2,life sciences,20712,3,male,92,2,3,research director,4,n/a,11510,15682,0,n/a,14,2,1,11,3,3,11,2,9,1985,n/a,yes
88,43,no,n/a,982,n/a,12,3,n/a,20713,1,male,59,2,4,research director,2,n/a,6477,4345,1,no,11,3,1,11,3,2,25,3,9,1980,n/a,yes
89,31,no,n/a,480,n/a,30,2,n/a,20714,2,female,31,3,2,manufacturing director,1,married,4306,4156,1,no,12,2,1,13,5,1,13,3,12,1992,n/a,yes
90,50,no,travel_rarely,1099,research & development,27,4,life sciences,20715,27,male,88,2,4,manager,3,married,17046,9314,0,no,15,2,1,28,2,3,27,15,7,1973,manager  -  research & development,yes
91,35,no,n/a,672,n/a,25,3,technical degree,8990,4,male,78,2,3,manufacturing director,2,married,6477,9129,3,no,16,1,0,11,2,3,13,4,8,1988,n/a,no
92,47,no,n/a,1379,n/a,16,4,n/a,20716,3,male,64,4,2,manufacturing director,3,n/a,5067,6759,1,yes,19,3,0,20,3,2,19,2,7,1976,n/a,yes
93,35,no,n/a,583,research & development,25,4,n/a,10140,3,female,57,3,3,healthcare representative,3,divorced,6477,6975,1,yes,11,3,1,11,3,2,16,10,1,1988,healthcare representative  -  research & development,yes
94,40,no,travel_rarely,1492,n/a,20,4,n/a,20717,1,male,61,3,3,healthcare representative,4,married,6477,26542,4,n/a,20,4,1,14,6,3,11,11,1,1983,n/a,yes
95,45,no,n/a,1050,sales,9,4,life sciences,11170,2,female,65,2,2,sales executive,3,married,6477,17970,1,n/a,13,4,1,15,2,3,15,4,12,1978,sales executive  -  sales,no
96,33,no,n/a,117,research & development,9,3,medical,12380,1,male,60,3,1,research scientist,4,married,6477,6311,0,n/a,13,2,1,15,5,3,14,4,10,1990,research scientist  -  research & development,no
97,36,no,travel_frequently,469,n/a,3,3,n/a,20718,3,male,46,3,1,research scientist,2,married,3692,9256,1,no,12,3,0,12,2,2,11,0,7,1987,n/a,no
98,45,yes,n/a,802,n/a,13,3,marketing,12770,1,female,94,1,5,manager,2,n/a,6477,2493,2,yes,16,1,0,26,2,3,24,1,11,1978,n/a,yes
99,51,no,travel_frequently,237,n/a,27,3,n/a,20719,27,male,83,3,5,manager,2,n/a,19847,19196,4,yes,24,1,1,11,5,2,29,11,10,1972,n/a,no
100,34,no,travel_rarely,1440,n/a,7,2,technical degree,20720,2,male,55,3,1,sales representative,3,n/a,2308,4944,0,yes,25,2,1,12,4,3,11,5,7,1989,n/a,no
101,43,no,travel_rarely,1291,research & development,15,2,n/a,16660,3,male,65,2,4,research director,3,n/a,6477,3525,1,no,24,1,1,11,3,3,14,6,11,1980,research director  -  research & development,yes
102,34,no,n/a,1157,n/a,5,2,medical,16960,2,male,57,2,2,laboratory technician,4,n/a,6477,11912,1,no,14,3,1,11,3,2,15,4,13,1989,n/a,no
103,38,no,n/a,1336,n/a,2,3,n/a,18050,1,male,100,3,1,human resources,2,divorced,6477,7129,5,no,13,4,3,13,3,3,11,3,8,1985,n/a,yes
104,48,no,n/a,1224,n/a,10,3,n/a,20721,4,male,91,2,5,research director,2,n/a,6477,13583,4,no,12,4,0,29,3,3,22,12,9,1975,n/a,no
105,34,no,n/a,735,research & development,22,4,other,19320,3,male,86,2,2,research scientist,4,married,5747,26496,1,yes,15,2,0,16,3,3,15,6,11,1989,research scientist  -  research & development,no
106,32,no,travel_rarely,802,n/a,31,4,n/a,20160,31,female,48,3,3,sales executive,4,n/a,10422,24032,1,no,19,3,2,14,3,3,14,5,7,1991,n/a,yes
107,29,no,travel_rarely,1389,n/a,21,4,life sciences,200,2,female,51,4,3,manufacturing director,1,divorced,6477,10195,1,no,11,3,1,10,1,3,10,8,8,1994,n/a,no
108,46,no,n/a,638,n/a,1,3,medical,20722,3,male,40,2,3,healthcare representative,1,married,6477,3142,2,yes,13,3,1,21,5,2,10,9,5,1977,n/a,no
109,30,no,n/a,1240,human resources,9,3,n/a,1840,3,male,48,3,2,human resources,4,married,6347,13982,0,yes,19,4,0,11,2,1,11,4,7,1993,human resources  -  human resources,no
110,45,no,n/a,194,n/a,9,3,life sciences,2060,2,male,60,3,2,laboratory technician,2,n/a,2348,10901,8,no,18,3,1,20,2,2,17,0,15,1978,n/a,yes
111,30,no,travel_rarely,1339,n/a,5,3,n/a,2280,2,female,41,3,3,sales executive,4,n/a,6477,8053,2,no,12,3,1,11,2,3,10,7,4,1993,n/a,yes
112,30,no,n/a,111,n/a,9,3,n/a,2390,3,male,66,3,2,laboratory technician,1,n/a,3072,11012,1,no,11,3,2,12,4,3,12,6,10,1993,n/a,yes
113,34,no,travel_frequently,802,n/a,29,1,n/a,2560,4,male,45,2,2,manufacturing director,3,married,6477,14074,1,n/a,17,3,0,10,2,2,10,1,9,1989,n/a,no
114,51,no,travel_rarely,1469,n/a,8,4,life sciences,20723,2,male,81,2,3,research director,2,married,12490,15736,5,no,16,4,2,16,5,1,10,4,7,1972,n/a,no
115,34,no,n/a,470,n/a,39,4,life sciences,3390,39,male,84,2,2,manufacturing director,1,n/a,6477,23687,6,n/a,13,2,1,13,3,3,11,5,9,1989,n/a,yes
116,35,no,travel_rarely,1232,n/a,16,3,n/a,4060,3,male,96,3,3,sales executive,2,married,8020,5100,0,n/a,15,3,2,12,3,2,11,6,9,1988,n/a,yes
117,45,no,travel_frequently,1249,n/a,7,3,life sciences,20724,1,male,97,3,3,laboratory technician,1,n/a,6477,20308,1,n/a,18,1,1,24,2,3,24,9,11,1978,n/a,yes
118,39,no,n/a,117,n/a,10,1,n/a,4290,3,male,99,3,4,manager,1,married,17068,5355,1,n/a,14,4,0,21,3,3,21,11,10,1984,n/a,yes
119,31,no,n/a,798,n/a,7,2,n/a,20725,3,female,48,2,3,manufacturing director,3,married,8943,14034,1,no,24,1,1,10,2,3,10,8,9,1992,n/a,no
120,39,no,n/a,672,research & development,7,2,n/a,4440,3,male,54,2,5,manager,4,married,19272,21141,1,n/a,15,1,1,11,2,3,21,13,3,1984,manager  -  research & development,yes
121,45,no,travel_rarely,549,n/a,8,4,n/a,4520,4,male,75,3,2,research scientist,4,n/a,6477,9278,9,no,14,1,2,12,3,3,10,9,8,1978,n/a,yes
122,30,no,travel_rarely,570,sales,5,3,marketing,4560,4,female,30,2,2,sales executive,3,n/a,6477,5431,1,n/a,13,3,3,10,2,3,10,1,2,1993,sales executive  -  sales,yes
123,31,no,n/a,1232,n/a,7,4,medical,20726,3,female,39,3,3,manufacturing director,4,n/a,6477,25713,1,n/a,14,3,0,11,2,2,11,4,10,1992,n/a,no
124,36,no,n/a,541,n/a,3,4,medical,4810,1,male,48,2,3,sales executive,4,married,6477,7246,4,no,11,1,1,16,2,3,13,1,12,1987,n/a,yes
125,36,no,travel_rarely,164,n/a,2,2,n/a,5130,2,male,61,2,3,sales executive,3,married,6477,3809,1,n/a,13,2,2,10,2,3,10,9,0,1987,n/a,yes
126,55,no,travel_rarely,1117,n/a,18,5,n/a,5970,1,female,83,3,4,manager,2,single,6477,9873,3,no,23,4,0,37,2,3,10,7,7,1968,n/a,yes
127,35,no,n/a,619,n/a,1,3,n/a,6000,2,male,85,3,2,sales executive,3,n/a,6477,18659,9,n/a,11,3,0,15,2,3,11,6,9,1988,n/a,yes
128,42,no,travel_rarely,319,n/a,24,3,medical,20727,4,male,56,3,3,manufacturing director,1,married,6477,6950,1,n/a,21,4,1,10,5,2,10,5,8,1981,n/a,no
129,52,no,travel_rarely,956,n/a,6,2,n/a,6300,4,male,78,3,2,research scientist,1,divorced,5577,22087,3,yes,12,2,2,18,3,3,10,6,9,1971,n/a,yes
130,49,no,n/a,1245,n/a,18,4,life sciences,6380,4,male,58,2,5,research director,3,n/a,6477,2125,1,yes,17,3,1,11,5,3,31,0,9,1974,n/a,yes
131,34,no,travel_rarely,1397,research & development,1,5,n/a,6830,2,male,42,3,1,research scientist,4,married,2691,7660,1,no,12,4,1,11,4,2,10,8,8,1989,research scientist  -  research & development,yes
132,33,yes,travel_rarely,527,n/a,1,4,other,7800,4,male,63,3,1,research scientist,4,single,6477,5207,1,n/a,13,3,0,10,2,2,10,7,8,1990,n/a,no
133,33,no,n/a,213,research & development,7,3,medical,8170,3,male,49,3,3,research director,3,married,6477,25995,0,no,11,4,0,11,3,4,13,3,7,1990,research director  -  research & development,yes
134,53,no,travel_rarely,802,n/a,23,4,n/a,9010,4,female,72,3,4,research director,4,n/a,6477,20206,6,no,18,3,0,33,0,3,12,3,8,1970,n/a,yes
135,49,no,travel_rarely,527,n/a,8,2,other,9440,1,female,51,3,3,laboratory technician,2,married,7403,22477,4,n/a,11,3,1,29,3,2,26,1,7,1974,n/a,no
136,35,no,n/a,882,n/a,21,4,n/a,9840,21,male,0,3,3,sales executive,4,n/a,6477,6812,6,n/a,13,2,1,11,2,3,10,0,8,1988,n/a,no
137,38,no,travel_rarely,330,n/a,17,1,life sciences,10880,3,female,65,2,3,healthcare representative,3,married,8823,24608,0,n/a,18,1,1,20,4,2,19,1,9,1985,n/a,no
138,46,no,n/a,406,sales,3,1,marketing,11240,1,male,0,3,4,manager,3,married,6477,15596,3,no,12,4,1,11,3,3,12,4,9,1977,manager  -  sales,no
139,36,no,non_travel,217,n/a,18,4,n/a,20728,1,male,78,3,2,manufacturing director,4,single,6477,23238,2,n/a,20,1,0,18,0,3,11,0,9,1987,n/a,no
140,42,yes,travel_frequently,481,n/a,15,3,life sciences,11670,15,male,44,3,4,sales executive,1,single,6477,2447,0,n/a,12,2,0,11,2,2,21,13,14,1981,n/a,yes
141,34,no,travel_frequently,669,n/a,1,3,n/a,11840,4,male,97,2,2,healthcare representative,1,single,6477,25755,0,no,20,3,0,14,3,3,13,4,9,1989,n/a,yes
142,30,no,travel_rarely,1465,research & development,1,3,medical,20729,4,male,63,3,1,research scientist,2,n/a,3579,9369,0,yes,21,1,1,12,2,3,11,5,7,1993,research scientist  -  research & development,yes
143,54,no,travel_rarely,685,n/a,3,3,life sciences,20730,4,male,85,3,4,research director,4,married,17779,23474,3,no,14,1,0,36,2,3,10,0,9,1969,n/a,yes
144,31,no,travel_rarely,1062,n/a,24,3,medical,12520,3,female,96,2,2,healthcare representative,1,single,6477,17198,1,no,19,2,0,10,2,3,10,1,8,1992,n/a,no
145,44,no,n/a,1099,n/a,5,3,n/a,12670,2,male,88,3,5,manager,2,married,18213,8751,7,no,11,3,1,26,5,3,22,3,10,1979,n/a,yes
146,55,no,non_travel,177,n/a,8,1,n/a,12780,4,male,37,2,4,healthcare representative,2,divorced,13577,25592,1,yes,15,4,1,11,3,3,33,15,0,1968,n/a,no
147,44,no,travel_rarely,1199,n/a,4,2,life sciences,12880,3,male,92,4,5,manager,1,divorced,19190,17477,1,no,14,4,2,11,4,2,25,14,13,1979,n/a,no
148,34,no,travel_frequently,648,human resources,11,3,life sciences,20731,3,male,56,2,2,human resources,2,n/a,6477,21833,4,no,11,4,2,14,5,4,10,1,8,1989,human resources  -  human resources,yes
149,39,no,n/a,412,n/a,13,4,n/a,13070,3,female,94,2,4,manager,2,divorced,17123,17334,6,yes,13,4,2,11,4,3,19,15,2,1984,n/a,no
150,55,no,travel_rarely,282,n/a,2,2,medical,13360,4,female,58,1,5,manager,3,n/a,19187,6992,4,n/a,14,4,1,23,5,3,19,9,11,1968,n/a,yes
151,51,no,n/a,770,n/a,5,3,life sciences,13520,3,male,84,3,4,manager,2,n/a,6477,17588,1,n/a,11,2,1,11,2,3,33,0,10,1972,n/a,yes
152,58,yes,n/a,601,n/a,14,4,medical,13600,14,female,53,2,3,manufacturing director,1,married,10008,12023,7,n/a,14,4,0,11,0,2,10,5,9,1965,n/a,yes
