age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,year_birth,role_department,remote_work
34,no,non_travel,802,sales,10,3,life sciences,1774,4,male,87,3,2,sales executive,3,n/a,4001,12313,1,yes,14,3,1,15,3,3,15,0,7,1989,sales executive  -  sales,yes
41,no,n/a,802,sales,37,1,n/a,1815,37,female,81,3,3,sales executive,3,divorced,10447,26458,0,n/a,13,4,1,11,3,4,22,13,5,1982,sales executive  -  sales,yes
47,no,n/a,1180,research & development,25,3,medical,1993,1,male,84,3,3,healthcare representative,3,n/a,6477,13084,2,n/a,23,2,0,25,3,3,17,12,11,1976,healthcare representative  -  research & development,yes
53,no,travel_rarely,1282,n/a,5,3,n/a,32,3,female,58,3,5,manager,3,n/a,6477,10735,4,n/a,11,4,1,26,3,2,14,4,8,1970,n/a,yes
35,no,n/a,776,n/a,1,4,marketing,100,3,male,32,2,2,sales executive,1,single,6477,23016,0,no,14,2,0,16,2,3,15,2,8,1988,n/a,no
34,no,travel_rarely,665,n/a,6,4,other,1000,1,female,41,3,2,research scientist,3,single,6477,12482,1,n/a,14,3,0,16,3,3,16,2,10,1989,n/a,yes
46,no,travel_rarely,526,n/a,1,2,n/a,244,2,female,92,3,3,sales executive,1,divorced,6477,2137,1,no,25,3,3,24,2,3,24,15,7,1977,n/a,yes
43,no,n/a,1034,n/a,16,3,n/a,327,4,female,80,3,4,manager,4,married,16064,7744,5,n/a,22,3,1,22,3,3,17,1,9,1980,n/a,yes
36,no,n/a,1403,research & development,6,3,life sciences,373,4,male,47,3,1,laboratory technician,4,married,3210,20251,0,n/a,11,3,1,16,4,3,15,10,11,1987,laboratory technician  -  research & development,yes
60,no,travel_frequently,1499,n/a,28,3,n/a,1000,3,female,80,2,3,sales executive,1,married,10266,2845,4,no,19,4,0,22,5,4,18,13,11,1963,n/a,yes
40,no,travel_frequently,580,n/a,5,4,n/a,729,4,male,48,2,3,sales executive,1,married,10475,23772,5,yes,21,3,1,20,2,3,18,1,12,1983,n/a,no
32,no,travel_rarely,859,n/a,4,3,n/a,830,3,female,98,2,2,manufacturing director,3,married,6162,19124,1,no,12,3,1,14,3,3,14,6,8,1991,n/a,no
41,no,travel_rarely,263,n/a,35,3,n/a,1000,35,male,59,3,1,laboratory technician,1,single,4721,3119,2,yes,13,3,0,20,3,3,18,2,17,1982,n/a,yes
53,no,n/a,1376,n/a,2,2,medical,981,3,male,0,3,4,manager,3,divorced,6477,13938,6,no,13,3,1,22,3,4,17,15,2,1970,n/a,no
36,yes,travel_rarely,885,n/a,16,4,n/a,1042,3,female,43,4,1,laboratory technician,1,single,6477,8269,1,n/a,16,3,0,18,1,3,17,15,14,1987,n/a,yes
46,no,n/a,1003,n/a,8,4,life sciences,1080,4,female,74,2,2,research scientist,1,divorced,4615,21029,8,yes,23,1,3,11,2,3,16,1,7,1977,n/a,no
38,no,travel_rarely,1321,n/a,1,4,n/a,1995,4,male,86,3,2,sales executive,2,married,6477,7636,0,no,15,1,2,16,3,2,15,5,8,1985,n/a,yes
51,no,n/a,802,n/a,1,4,n/a,145,1,female,30,2,3,healthcare representative,1,single,6477,25796,3,n/a,20,3,0,23,1,2,13,12,8,1972,n/a,yes
43,no,n/a,394,n/a,26,2,n/a,158,3,male,92,3,4,manager,4,married,16959,19494,1,yes,12,4,2,25,3,4,25,4,12,1980,n/a,yes
37,no,n/a,1372,n/a,1,3,life sciences,391,4,female,42,3,1,research scientist,4,single,6477,15881,1,no,12,2,0,11,3,3,17,5,7,1986,n/a,yes
32,no,travel_rarely,802,n/a,8,2,technical degree,436,3,female,65,2,2,sales executive,2,married,6477,24624,1,yes,11,4,0,11,2,3,13,11,9,1991,n/a,yes
38,no,n/a,1333,n/a,1,3,n/a,1000,4,female,80,3,3,research director,1,married,6477,16292,1,n/a,13,2,1,15,3,3,15,5,11,1985,n/a,no
46,no,n/a,228,n/a,3,3,life sciences,1527,3,female,51,3,4,manager,2,n/a,6477,11380,8,no,12,4,1,23,2,4,13,5,1,1977,n/a,yes
35,yes,travel_rarely,737,n/a,10,3,medical,1000,4,male,55,2,3,sales executive,1,married,10306,21530,9,n/a,17,3,0,15,3,2,13,6,0,1988,n/a,no
43,no,n/a,823,n/a,6,3,medical,1866,1,female,81,2,5,manager,3,married,6477,22539,7,no,13,4,0,21,2,3,16,6,14,1980,n/a,yes
56,no,non_travel,667,n/a,1,4,life sciences,2026,3,male,57,3,2,healthcare representative,3,divorced,6477,26236,1,no,21,1,1,11,2,2,13,1,9,1967,n/a,yes
36,no,non_travel,301,n/a,15,4,marketing,1000,4,male,88,1,2,sales executive,4,divorced,5406,10436,1,no,24,1,1,11,4,2,15,11,11,1987,n/a,yes
38,no,n/a,573,n/a,6,3,medical,107,2,female,79,1,2,research scientist,4,n/a,6477,15717,7,n/a,12,4,3,17,3,3,13,1,9,1985,n/a,yes
49,no,n/a,802,n/a,26,4,medical,170,3,female,96,3,2,manufacturing director,1,n/a,6477,5549,1,no,14,3,0,16,2,2,15,5,11,1974,n/a,no
39,no,travel_rarely,1329,n/a,4,4,life sciences,1000,4,female,47,2,2,sales executive,3,married,5902,14590,4,n/a,14,3,1,17,1,4,15,5,9,1984,n/a,yes
40,no,n/a,630,n/a,4,4,n/a,215,3,male,67,2,3,sales executive,4,married,10855,8552,7,no,11,1,1,15,2,2,12,2,11,1983,n/a,yes
36,no,n/a,802,n/a,5,2,n/a,304,4,male,62,3,2,laboratory technician,2,single,5914,9945,8,no,16,4,0,16,3,4,13,3,7,1987,n/a,yes
37,no,n/a,1063,n/a,25,5,n/a,529,2,female,72,3,2,research scientist,3,married,6477,23866,3,yes,15,1,2,15,2,3,13,10,7,1986,n/a,no
35,no,n/a,1017,n/a,6,4,n/a,691,2,male,82,1,2,research scientist,4,n/a,6646,19368,1,n/a,13,2,0,11,3,3,17,11,8,1988,n/a,yes
33,no,travel_frequently,1296,n/a,6,3,life sciences,692,3,male,0,3,2,healthcare representative,4,divorced,6477,5335,3,no,23,3,1,15,2,1,13,4,7,1990,n/a,no
50,no,travel_rarely,939,research & development,24,3,n/a,1005,4,male,0,3,4,manufacturing director,3,married,13973,4161,3,yes,18,4,1,22,2,3,12,1,5,1973,manufacturing director  -  research & development,no
48,no,travel_rarely,1355,n/a,4,4,n/a,1024,3,male,78,2,3,healthcare representative,3,single,6477,22245,7,n/a,14,2,0,27,3,3,15,4,8,1975,n/a,yes
44,no,travel_rarely,1448,sales,28,3,n/a,1039,4,female,53,4,4,sales executive,4,married,13320,11737,3,n/a,18,3,1,11,2,3,12,11,11,1979,sales executive  -  sales,yes
44,no,travel_rarely,200,n/a,29,4,n/a,1225,4,male,32,3,2,research scientist,4,single,6477,7744,1,n/a,25,2,0,11,3,3,20,13,17,1979,n/a,yes
40,no,n/a,1202,n/a,25,1,n/a,1375,25,female,89,4,2,healthcare representative,3,n/a,6477,13888,5,no,20,2,3,15,0,3,12,11,8,1983,n/a,yes
34,no,travel_rarely,404,n/a,2,4,n/a,1000,3,female,98,3,2,healthcare representative,4,single,6687,6163,1,n/a,11,4,0,14,2,4,14,4,11,1989,n/a,yes
35,no,non_travel,208,research & development,8,4,n/a,1000,3,female,52,3,2,healthcare representative,3,n/a,6477,12250,1,n/a,12,4,1,11,5,3,14,2,9,1988,healthcare representative  -  research & development,yes
50,no,n/a,813,n/a,17,5,life sciences,1000,4,female,50,2,3,research director,1,n/a,6477,21981,5,no,15,3,3,11,3,3,14,1,11,1973,n/a,no
49,no,n/a,465,n/a,6,1,life sciences,1661,3,female,41,2,4,healthcare representative,3,n/a,6477,11652,2,n/a,19,2,1,11,3,3,15,2,12,1974,n/a,yes
38,no,travel_frequently,1189,n/a,1,3,life sciences,1668,4,male,90,3,2,research scientist,4,n/a,4735,9867,7,no,15,4,2,19,4,2,13,2,9,1985,n/a,yes
33,no,n/a,802,n/a,21,3,n/a,1698,2,male,79,4,1,laboratory technician,2,n/a,6477,13637,1,no,18,4,3,14,6,2,14,2,13,1990,n/a,yes
47,no,travel_rarely,1001,n/a,4,3,life sciences,1000,3,female,92,2,3,manufacturing director,2,divorced,6477,19271,8,yes,12,3,1,11,4,3,22,14,10,1976,n/a,yes
38,no,n/a,1394,research & development,8,3,n/a,1937,4,female,58,2,2,research scientist,2,divorced,6477,18115,1,n/a,16,3,1,20,3,3,20,0,7,1985,research scientist  -  research & development,no
37,no,travel_rarely,161,n/a,10,3,life sciences,2017,3,female,42,4,3,research director,4,n/a,6477,15471,1,yes,25,1,1,16,2,3,16,6,8,1986,n/a,yes
30,no,n/a,288,n/a,2,3,n/a,117,3,male,99,2,2,healthcare representative,4,married,6477,15830,1,no,19,1,3,11,3,3,11,10,8,1993,n/a,yes
58,no,travel_rarely,682,n/a,18,4,n/a,131,4,male,37,3,4,sales executive,3,single,13872,24409,0,n/a,13,3,0,38,1,2,37,1,8,1965,n/a,yes
34,no,travel_rarely,1354,n/a,5,3,n/a,153,3,female,45,2,3,manager,1,single,6477,5615,2,n/a,12,4,0,14,6,3,11,5,8,1989,n/a,no
58,yes,travel_rarely,147,n/a,23,4,medical,1000,4,female,94,3,3,healthcare representative,4,married,6477,3465,1,n/a,12,4,1,40,3,2,40,15,6,1965,n/a,yes
38,no,n/a,119,n/a,3,3,life sciences,307,1,male,76,3,3,sales executive,3,divorced,6477,9647,0,n/a,12,3,2,11,6,2,16,5,13,1985,n/a,yes
29,no,travel_frequently,1413,n/a,1,1,n/a,1000,2,female,42,3,3,sales executive,4,married,6477,6599,1,n/a,14,4,1,11,5,3,11,4,1,1994,n/a,yes
55,no,travel_rarely,452,n/a,1,3,medical,374,4,male,81,3,5,manager,1,single,19045,18938,0,n/a,14,3,0,37,2,3,36,4,13,1968,n/a,yes
41,no,n/a,334,n/a,10,4,n/a,1000,4,male,88,3,4,manager,2,n/a,16015,15896,1,n/a,19,2,0,11,2,3,22,0,4,1982,n/a,yes
39,no,travel_rarely,1132,research & development,1,3,n/a,1000,3,male,48,4,3,healthcare representative,4,n/a,9613,10942,0,no,17,1,3,19,5,2,18,3,7,1984,healthcare representative  -  research & development,no
38,no,n/a,802,n/a,15,2,life sciences,1000,3,male,92,2,3,research director,4,n/a,11510,15682,0,n/a,14,2,1,11,3,3,11,2,9,1985,n/a,yes
43,no,n/a,982,n/a,12,3,n/a,1000,1,male,59,2,4,research director,2,n/a,6477,4345,1,no,11,3,1,11,3,2,25,3,9,1980,n/a,yes
31,no,n/a,480,n/a,30,2,n/a,524,2,female,31,3,2,manufacturing director,1,married,4306,4156,1,no,12,2,1,13,5,1,13,3,12,1992,n/a,yes
50,no,travel_rarely,1099,research & development,27,4,life sciences,569,27,male,88,2,4,manager,3,married,17046,9314,0,no,15,2,1,28,2,3,27,15,7,1973,manager  -  research & development,yes
35,no,n/a,672,n/a,25,3,technical degree,899,4,male,78,2,3,manufacturing director,2,married,6477,9129,3,no,16,1,0,11,2,3,13,4,8,1988,n/a,no
47,no,n/a,1379,n/a,16,4,n/a,1000,3,male,64,4,2,manufacturing director,3,n/a,5067,6759,1,yes,19,3,0,20,3,2,19,2,7,1976,n/a,yes
35,no,n/a,583,research & development,25,4,n/a,1014,3,female,57,3,3,healthcare representative,3,divorced,6477,6975,1,yes,11,3,1,11,3,2,16,10,1,1988,healthcare representative  -  research & development,yes
40,no,travel_rarely,1492,n/a,20,4,n/a,1000,1,male,61,3,3,healthcare representative,4,married,6477,26542,4,n/a,20,4,1,14,6,3,11,11,1,1983,n/a,yes
45,no,n/a,1050,sales,9,4,life sciences,1117,2,female,65,2,2,sales executive,3,married,6477,17970,1,n/a,13,4,1,15,2,3,15,4,12,1978,sales executive  -  sales,no
33,no,n/a,117,research & development,9,3,medical,1238,1,male,60,3,1,research scientist,4,married,6477,6311,0,n/a,13,2,1,15,5,3,14,4,10,1990,research scientist  -  research & development,no
36,no,travel_frequently,469,n/a,3,3,n/a,1000,3,male,46,3,1,research scientist,2,married,3692,9256,1,no,12,3,0,12,2,2,11,0,7,1987,n/a,no
45,yes,n/a,802,n/a,13,3,marketing,1277,1,female,94,1,5,manager,2,n/a,6477,2493,2,yes,16,1,0,26,2,3,24,1,11,1978,n/a,yes
51,no,travel_frequently,237,n/a,27,3,n/a,1000,27,male,83,3,5,manager,2,n/a,19847,19196,4,yes,24,1,1,11,5,2,29,11,10,1972,n/a,no
34,no,travel_rarely,1440,n/a,7,2,technical degree,1541,2,male,55,3,1,sales representative,3,n/a,2308,4944,0,yes,25,2,1,12,4,3,11,5,7,1989,n/a,no
43,no,travel_rarely,1291,research & development,15,2,n/a,1666,3,male,65,2,4,research director,3,n/a,6477,3525,1,no,24,1,1,11,3,3,14,6,11,1980,research director  -  research & development,yes
34,no,n/a,1157,n/a,5,2,medical,1696,2,male,57,2,2,laboratory technician,4,n/a,6477,11912,1,no,14,3,1,11,3,2,15,4,13,1989,n/a,no
38,no,n/a,1336,n/a,2,3,n/a,1805,1,male,100,3,1,human resources,2,divorced,6477,7129,5,no,13,4,3,13,3,3,11,3,8,1985,n/a,yes
48,no,n/a,1224,n/a,10,3,n/a,1000,4,male,91,2,5,research director,2,n/a,6477,13583,4,no,12,4,0,29,3,3,22,12,9,1975,n/a,no
34,no,n/a,735,research & development,22,4,other,1932,3,male,86,2,2,research scientist,4,married,5747,26496,1,yes,15,2,0,16,3,3,15,6,11,1989,research scientist  -  research & development,no
32,no,travel_rarely,802,n/a,31,4,n/a,2016,31,female,48,3,3,sales executive,4,n/a,10422,24032,1,no,19,3,2,14,3,3,14,5,7,1991,n/a,yes
29,no,travel_rarely,1389,n/a,21,4,life sciences,20,2,female,51,4,3,manufacturing director,1,divorced,6477,10195,1,no,11,3,1,10,1,3,10,8,8,1994,n/a,no
46,no,n/a,638,n/a,1,3,medical,1000,3,male,40,2,3,healthcare representative,1,married,6477,3142,2,yes,13,3,1,21,5,2,10,9,5,1977,n/a,no
30,no,n/a,1240,human resources,9,3,n/a,184,3,male,48,3,2,human resources,4,married,6347,13982,0,yes,19,4,0,11,2,1,11,4,7,1993,human resources  -  human resources,no
45,no,n/a,194,n/a,9,3,life sciences,206,2,male,60,3,2,laboratory technician,2,n/a,2348,10901,8,no,18,3,1,20,2,2,17,0,15,1978,n/a,yes
30,no,travel_rarely,1339,n/a,5,3,n/a,228,2,female,41,3,3,sales executive,4,n/a,6477,8053,2,no,12,3,1,11,2,3,10,7,4,1993,n/a,yes
30,no,n/a,111,n/a,9,3,n/a,239,3,male,66,3,2,laboratory technician,1,n/a,3072,11012,1,no,11,3,2,12,4,3,12,6,10,1993,n/a,yes
34,no,travel_frequently,802,n/a,29,1,n/a,256,4,male,45,2,2,manufacturing director,3,married,6477,14074,1,n/a,17,3,0,10,2,2,10,1,9,1989,n/a,no
51,no,travel_rarely,1469,n/a,8,4,life sciences,1000,2,male,81,2,3,research director,2,married,12490,15736,5,no,16,4,2,16,5,1,10,4,7,1972,n/a,no
34,no,n/a,470,n/a,39,4,life sciences,339,39,male,84,2,2,manufacturing director,1,n/a,6477,23687,6,n/a,13,2,1,13,3,3,11,5,9,1989,n/a,yes
35,no,travel_rarely,1232,n/a,16,3,n/a,406,3,male,96,3,3,sales executive,2,married,8020,5100,0,n/a,15,3,2,12,3,2,11,6,9,1988,n/a,yes
45,no,travel_frequently,1249,n/a,7,3,life sciences,1000,1,male,97,3,3,laboratory technician,1,n/a,6477,20308,1,n/a,18,1,1,24,2,3,24,9,11,1978,n/a,yes
39,no,n/a,117,n/a,10,1,n/a,429,3,male,99,3,4,manager,1,married,17068,5355,1,n/a,14,4,0,21,3,3,21,11,10,1984,n/a,yes
31,no,n/a,798,n/a,7,2,n/a,1000,3,female,48,2,3,manufacturing director,3,married,8943,14034,1,no,24,1,1,10,2,3,10,8,9,1992,n/a,no
39,no,n/a,672,research & development,7,2,n/a,444,3,male,54,2,5,manager,4,married,19272,21141,1,n/a,15,1,1,11,2,3,21,13,3,1984,manager  -  research & development,yes
45,no,travel_rarely,549,n/a,8,4,n/a,452,4,male,75,3,2,research scientist,4,n/a,6477,9278,9,no,14,1,2,12,3,3,10,9,8,1978,n/a,yes
30,no,travel_rarely,570,sales,5,3,marketing,456,4,female,30,2,2,sales executive,3,n/a,6477,5431,1,n/a,13,3,3,10,2,3,10,1,2,1993,sales executive  -  sales,yes
31,no,n/a,1232,n/a,7,4,medical,1000,3,female,39,3,3,manufacturing director,4,n/a,6477,25713,1,n/a,14,3,0,11,2,2,11,4,10,1992,n/a,no
36,no,n/a,541,n/a,3,4,medical,481,1,male,48,2,3,sales executive,4,married,6477,7246,4,no,11,1,1,16,2,3,13,1,12,1987,n/a,yes
36,no,travel_rarely,164,n/a,2,2,n/a,513,2,male,61,2,3,sales executive,3,married,6477,3809,1,n/a,13,2,2,10,2,3,10,9,0,1987,n/a,yes
55,no,travel_rarely,1117,n/a,18,5,n/a,597,1,female,83,3,4,manager,2,single,6477,9873,3,no,23,4,0,37,2,3,10,7,7,1968,n/a,yes
35,no,n/a,619,n/a,1,3,n/a,600,2,male,85,3,2,sales executive,3,n/a,6477,18659,9,n/a,11,3,0,15,2,3,11,6,9,1988,n/a,yes
42,no,travel_rarely,319,n/a,24,3,medical,1000,4,male,56,3,3,manufacturing director,1,married,6477,6950,1,n/a,21,4,1,10,5,2,10,5,8,1981,n/a,no
52,no,travel_rarely,956,n/a,6,2,n/a,630,4,male,78,3,2,research scientist,1,divorced,5577,22087,3,yes,12,2,2,18,3,3,10,6,9,1971,n/a,yes
49,no,n/a,1245,n/a,18,4,life sciences,638,4,male,58,2,5,research director,3,n/a,6477,2125,1,yes,17,3,1,11,5,3,31,0,9,1974,n/a,yes
34,no,travel_rarely,1397,research & development,1,5,n/a,683,2,male,42,3,1,research scientist,4,married,2691,7660,1,no,12,4,1,11,4,2,10,8,8,1989,research scientist  -  research & development,yes
33,yes,travel_rarely,527,n/a,1,4,other,780,4,male,63,3,1,research scientist,4,single,6477,5207,1,n/a,13,3,0,10,2,2,10,7,8,1990,n/a,no
33,no,n/a,213,research & development,7,3,medical,817,3,male,49,3,3,research director,3,married,6477,25995,0,no,11,4,0,11,3,4,13,3,7,1990,research director  -  research & development,yes
53,no,travel_rarely,802,n/a,23,4,n/a,901,4,female,72,3,4,research director,4,n/a,6477,20206,6,no,18,3,0,33,0,3,12,3,8,1970,n/a,yes
49,no,travel_rarely,527,n/a,8,2,other,944,1,female,51,3,3,laboratory technician,2,married,7403,22477,4,n/a,11,3,1,29,3,2,26,1,7,1974,n/a,no
35,no,n/a,882,n/a,21,4,n/a,984,21,male,0,3,3,sales executive,4,n/a,6477,6812,6,n/a,13,2,1,11,2,3,10,0,8,1988,n/a,no
38,no,travel_rarely,330,n/a,17,1,life sciences,1088,3,female,65,2,3,healthcare representative,3,married,8823,24608,0,n/a,18,1,1,20,4,2,19,1,9,1985,n/a,no
46,no,n/a,406,sales,3,1,marketing,1124,1,male,0,3,4,manager,3,married,6477,15596,3,no,12,4,1,11,3,3,12,4,9,1977,manager  -  sales,no
36,no,non_travel,217,n/a,18,4,n/a,1000,1,male,78,3,2,manufacturing director,4,single,6477,23238,2,n/a,20,1,0,18,0,3,11,0,9,1987,n/a,no
42,yes,travel_frequently,481,n/a,15,3,life sciences,1167,15,male,44,3,4,sales executive,1,single,6477,2447,0,n/a,12,2,0,11,2,2,21,13,14,1981,n/a,yes
34,no,travel_frequently,669,n/a,1,3,n/a,1184,4,male,97,2,2,healthcare representative,1,single,6477,25755,0,no,20,3,0,14,3,3,13,4,9,1989,n/a,yes
30,no,travel_rarely,1465,research & development,1,3,medical,1000,4,male,63,3,1,research scientist,2,n/a,3579,9369,0,yes,21,1,1,12,2,3,11,5,7,1993,research scientist  -  research & development,yes
54,no,travel_rarely,685,n/a,3,3,life sciences,1000,4,male,85,3,4,research director,4,married,17779,23474,3,no,14,1,0,36,2,3,10,0,9,1969,n/a,yes
31,no,travel_rarely,1062,n/a,24,3,medical,1252,3,female,96,2,2,healthcare representative,1,single,6477,17198,1,no,19,2,0,10,2,3,10,1,8,1992,n/a,no
44,no,n/a,1099,n/a,5,3,n/a,1267,2,male,88,3,5,manager,2,married,18213,8751,7,no,11,3,1,26,5,3,22,3,10,1979,n/a,yes
55,no,non_travel,177,n/a,8,1,n/a,1278,4,male,37,2,4,healthcare representative,2,divorced,13577,25592,1,yes,15,4,1,11,3,3,33,15,0,1968,n/a,no
44,no,travel_rarely,1199,n/a,4,2,life sciences,1288,3,male,92,4,5,manager,1,divorced,19190,17477,1,no,14,4,2,11,4,2,25,14,13,1979,n/a,no
34,no,travel_frequently,648,human resources,11,3,life sciences,1000,3,male,56,2,2,human resources,2,n/a,6477,21833,4,no,11,4,2,14,5,4,10,1,8,1989,human resources  -  human resources,yes
39,no,n/a,412,n/a,13,4,n/a,1307,3,female,94,2,4,manager,2,divorced,17123,17334,6,yes,13,4,2,11,4,3,19,15,2,1984,n/a,no
55,no,travel_rarely,282,n/a,2,2,medical,1336,4,female,58,1,5,manager,3,n/a,19187,6992,4,n/a,14,4,1,23,5,3,19,9,11,1968,n/a,yes
51,no,n/a,770,n/a,5,3,life sciences,1352,3,male,84,3,4,manager,2,n/a,6477,17588,1,n/a,11,2,1,11,2,3,33,0,10,1972,n/a,yes
58,yes,n/a,601,n/a,14,4,medical,1360,14,female,53,2,3,manufacturing director,1,married,10008,12023,7,n/a,14,4,0,11,0,2,10,5,9,1965,n/a,yes
48,no,n/a,855,n/a,4,3,life sciences,1000,4,male,54,3,3,manufacturing director,4,single,6477,18706,1,no,11,3,0,11,2,3,10,0,8,1975,n/a,yes
29,no,travel_rarely,332,human resources,17,3,n/a,1419,2,male,51,2,3,human resources,1,single,7988,9769,1,n/a,13,1,0,11,3,2,10,0,9,1994,human resources  -  human resources,no
34,no,n/a,1326,n/a,3,3,other,1478,4,male,81,1,2,sales executive,1,single,6477,15891,3,no,18,4,0,15,2,3,13,3,12,1989,n/a,yes
42,no,travel_frequently,748,n/a,9,2,n/a,1480,1,female,74,3,1,laboratory technician,4,n/a,6477,16458,1,n/a,13,3,0,12,3,3,12,5,8,1981,n/a,yes
