,id,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,same_as_monthly_income,date_birth,salary,role_department,number_children,remote_work
59,59,40,no,no aplica,0,no aplica,4,4,no aplica,1,2150,3,0,67,2,3, sales executive ,4,married,0,8552,7,Yes,No,11,0,1,0,1,15,2,2,12,,2,11,"10855,0",1983,1000000000$,,,Yes
60,60,36,no,no aplica,0,no aplica,5,2,no aplica,1,3040,4,0,62,3,2, laboratory technician ,2,single,0,9945,8,Yes,No,16,3,4,80,0,16,3,4,13,,3,7,"5914,0",1987,1000000000$,,,1
61,61,37,no,no aplica,0,no aplica,25,5,no aplica,1,5290,2,1,72,3,2, research scientist ,3,married,0,23866,3,Yes,Yes,15,3,1,80,2,15,2,3,13,,10,7,,1986,1000000000$,,,0
62,62,35,no,no aplica,0,no aplica,6,4,no aplica,1,6910,2,0,82,1,2, research scientist ,4,no aplica,0,19368,1,Yes,N/A,13,3,2,0,0,0,3,3,17,,11,8,"6646,0",1988,1000000000$,,,Yes
63,63,33,no,travel_frequently,0,no aplica,6,3,life sciences,1,6920,3,0,0,3,2, healthcare representative ,4,divorced,0,5335,3,N/A,No,23,4,3,0,1,15,2,1,13,,4,7,,1990,1000000000$,,,False
64,64,50,no,travel_rarely,0, research & development ,24,3,no aplica,1,10050,4,0,0,3,4, manufacturing director ,3,married,0,4161,3,N/A,Yes,18,3,4,0,1,22,2,3,12,,1,5,"13973,0",1973,1000000000$, ManufactUrINg DiReCTOr  -  Research & Development ,,False
65,65,48,no,travel_rarely,0,no aplica,4,4,no aplica,1,10240,3,0,78,2,3, healthcare representative ,3,single,0,22245,7,N/A,N/A,14,0,2,80,0,27,3,3,15,"11,0",4,8,,1975,1000000000$,,,Yes
66,66,44,no,travel_rarely,0, sales ,28,3,no aplica,1,10390,4,1,53,4,4, sales executive ,4,married,0,11737,3,N/A,N/A,18,3,3,80,1,0,2,3,12,,11,11,"13320,0",1979,1000000000$, SaleS eXEcUtIVE  -  Sales ,,1
67,67,44,no,travel_rarely,0,no aplica,29,4,no aplica,1,12250,4,0,32,3,2, research scientist ,4,single,0,7744,1,Yes,N/A,25,4,2,0,0,0,3,3,20,,13,17,,1979,1000000000$,,,Yes
68,68,40,no,no aplica,0,no aplica,-25,1,no aplica,1,13750,25,1,89,4,2, healthcare representative ,3,no aplica,0,13888,5,N/A,No,20,4,2,0,3,15,0,3,12,,11,8,,1983,1000000000$,,,True
69,69,34,no,travel_rarely,0,no aplica,2,4,no aplica,1,0,3,1,98,3,2, healthcare representative ,4,single,0,6163,1,N/A,N/A,11,3,4,80,0,14,2,4,14,,4,11,"6687,0",1989,1000000000$,,,True
70,70,35,no,non-travel,0, research & development ,8,4,no aplica,1,0,3,1,52,3,2, healthcare representative ,3,no aplica,0,12250,1,N/A,N/A,12,3,4,80,1,0,5,3,14,,2,9,,1988,1000000000$, HEaLthcaRe rEprEsEnTAtiVe  -  Research & Development ,,True
71,71,50,no,no aplica,0,no aplica,17,5,life sciences,1,0,4,1,50,2,3, research director ,1,no aplica,0,21981,5,N/A,No,15,3,3,0,3,0,3,3,14,"11,0",1,11,,1973,1000000000$,,,0
72,72,49,no,no aplica,0,no aplica,6,1,life sciences,1,16610,3,1,41,2,4, healthcare representative ,3,no aplica,0,11652,2,N/A,N/A,19,3,2,80,1,0,3,3,15,,2,12,,1974,1000000000$,,,Yes
73,73,38,no,travel_frequently,0,no aplica,1,3,life sciences,1,16680,4,0,90,3,2, research scientist ,4,no aplica,0,9867,7,Yes,No,15,3,4,80,2,19,4,0,13,,2,9,"4735,0",1985,1000000000$,,,True
74,74,33,no,no aplica,0,no aplica,21,3,no aplica,1,16980,2,0,79,4,1, laboratory technician ,2,no aplica,0,13637,1,N/A,No,18,3,4,0,3,14,6,0,14,,2,13,,1990,1000000000$,,,True
75,75,47,no,travel_rarely,0,no aplica,4,3,life sciences,1,0,3,1,92,2,3, manufacturing director ,2,divorced,0,19271,8,N/A,Yes,12,0,3,0,1,0,4,3,22,,14,10,,1976,1000000000$,,,Yes
76,76,38,no,no aplica,0, research & development ,8,3,no aplica,1,19370,4,1,58,2,2, research scientist ,2,divorced,0,18115,1,N/A,N/A,16,3,3,0,1,20,3,3,20,,0,7,,1985,1000000000$, rESeArCH sCientIST  -  Research & Development ,,0
77,77,37,no,travel_rarely,0,no aplica,10,3,life sciences,1,20170,3,1,42,4,3, research director ,4,no aplica,0,15471,1,N/A,Yes,25,4,1,0,1,16,2,3,16,,6,8,,1986,1000000000$,,,Yes
78,78,30,no,no aplica,0,no aplica,2,3,no aplica,1,1170,3,0,99,2,2, healthcare representative ,4,married,0,15830,1,N/A,No,19,0,1,80,3,11,3,3,11,,10,8,,1993,1000000000$,,,Yes
79,79,0,no,travel_rarely,0,no aplica,-18,4,no aplica,1,1310,4,0,37,3,4, sales executive ,3,single,0,24409,0,N/A,N/A,13,3,3,0,0,38,1,2,37,,1,8,"13872,0",1965,1000000000$,,,1
80,80,34,no,travel_rarely,0,no aplica,5,3,no aplica,1,1530,3,1,45,2,3, manager ,1,single,0,5615,2,N/A,N/A,12,3,4,80,0,14,6,3,11,,5,8,,1989,1000000000$,,,0
81,81,58,yes,travel_rarely,0,no aplica,23,4,medical,1,0,4,1,94,3,3, healthcare representative ,4,married,0,3465,1,N/A,N/A,12,3,4,0,1,40,3,2,40,,15,6,,1965,1000000000$,,,Yes
82,82,38,no,no aplica,0,no aplica,3,3,life sciences,1,3070,1,0,76,3,3, sales executive ,3,divorced,0,9647,0,Yes,N/A,12,3,3,0,2,0,6,2,16,,5,13,,1985,1000000000$,,,1
83,83,29,no,travel_frequently,0,no aplica,1,1,no aplica,1,0,2,1,42,3,3, sales executive ,4,married,0,6599,1,Yes,N/A,14,3,4,0,1,11,5,3,11,,4,1,,1994,1000000000$,,,True
84,84,55,no,travel_rarely,0,no aplica,1,3,medical,1,3740,4,0,81,3,5, manager ,1,single,0,18938,0,Yes,N/A,14,3,3,0,0,37,2,3,36,,4,13,"19045,0",1968,1000000000$,,,1
85,85,41,no,no aplica,0,no aplica,-10,4,no aplica,1,0,4,0,88,3,4, manager ,2,no aplica,0,15896,1,N/A,N/A,19,3,2,0,0,0,2,3,22,,0,4,"16015,0",1982,1000000000$,,,Yes
86,86,39,no,travel_rarely,0, research & development ,1,3,no aplica,1,0,3,0,48,4,3, healthcare representative ,4,no aplica,0,10942,0,N/A,No,17,0,1,80,3,19,5,2,18,,3,7,"9613,0",1984,1000000000$, healTHCAre rePREseNtATiVE  -  Research & Development ,,0
87,87,38,no,no aplica,0,no aplica,15,2,life sciences,1,0,3,0,92,2,3, research director ,4,no aplica,0,15682,0,N/A,N/A,14,3,2,0,1,0,3,3,11,,2,9,"11510,0",1985,1000000000$,,,1
88,88,43,no,no aplica,0,no aplica,12,3,no aplica,1,0,1,0,59,2,4, research director ,2,no aplica,0,4345,1,N/A,No,11,3,3,80,1,0,3,0,25,,3,9,,1980,1000000000$,,,True
89,89,31,no,no aplica,0,no aplica,-30,2,no aplica,1,5240,2,1,31,3,2, manufacturing director ,1,married,0,4156,1,N/A,No,12,3,2,80,1,13,5,1,13,,3,12,"4306,0",1992,1000000000$,,,Yes
90,90,50,no,travel_rarely,0, research & development ,-27,4,life sciences,1,5690,27,0,88,2,4, manager ,3,marreid,0,9314,0,Yes,No,15,3,2,0,1,28,2,3,27,,15,7,"17046,0",1973,1000000000$, mANaGer  -  Research & Development ,,True
91,91,35,no,no aplica,0,no aplica,25,3,technical degree,1,8990,4,0,78,2,3, manufacturing director ,2,married,0,9129,3,Yes,No,16,0,1,0,0,0,2,3,13,,4,8,,1988,1000000000$,,,0
92,92,47,no,no aplica,0,no aplica,16,4,no aplica,1,0,3,0,64,4,2, manufacturing director ,3,no aplica,0,6759,1,N/A,Yes,19,3,3,0,0,20,3,0,19,,2,7,"5067,0",1976,1000000000$,,,Yes
93,93,35,no,no aplica,0, research & development ,25,4,no aplica,1,10140,3,1,57,3,3, healthcare representative ,3,divorced,0,6975,1,N/A,Yes,11,0,3,0,1,0,3,2,16,,10,1,,1988,1000000000$, HEAltHCaRe REPreseNTatIve  -  Research & Development ,,1
94,94,40,no,travel_rarely,0,no aplica,20,4,no aplica,1,0,1,0,61,3,3, healthcare representative ,4,married,0,26542,4,Yes,N/A,20,4,4,0,1,14,6,3,11,,11,1,,1983,1000000000$,,,1
95,95,45,no,no aplica,0, sales ,9,4,life sciences,1,11170,2,1,65,2,2, sales executive ,3,married,0,17970,1,Yes,N/A,13,3,4,80,1,15,2,3,15,,4,12,,1978,1000000000$, SaLeS eXECUTivE  -  Sales ,,0
96,96,33,no,no aplica,0, research & development ,9,3,medical,1,12380,1,0,60,3,1, research scientist ,4,married,0,6311,0,Yes,N/A,13,3,2,0,1,15,5,3,14,,4,10,,1990,1000000000$, reSeARCH SCIEnTiST  -  Research & Development ,,False
97,97,36,no,travel_frequently,0,no aplica,3,3,no aplica,1,0,3,0,46,3,1, research scientist ,2,married,0,9256,1,Yes,No,12,3,3,0,0,12,2,2,11,,0,7,"3692,0",1987,1000000000$,,,False
98,98,45,yes,no aplica,0,no aplica,-13,3,marketing,1,12770,1,1,94,1,5, manager ,2,no aplica,0,2493,2,N/A,Yes,16,3,1,0,0,26,2,3,24,,1,11,,1978,1000000000$,,,True
99,99,51,no,travel_frequently,0,no aplica,-27,3,no aplica,1,0,27,0,83,3,5, manager ,2,no aplica,0,19196,4,N/A,Yes,24,0,1,0,1,0,5,2,29,,11,10,"19847,0",1972,1000000000$,,,0
100,100,34,no,travel_rarely,0,no aplica,7,2,technical degree,1,15410,2,0,55,3,1, sales representative ,3,no aplica,0,4944,0,N/A,Yes,25,4,2,0,1,12,4,3,11,,5,7,"2308,0",1989,1000000000$,,,0
101,101,43,no,travel_rarely,0, research & development ,15,2,no aplica,1,16660,3,0,65,2,4, research director ,3,no aplica,0,3525,1,N/A,No,24,4,1,0,1,0,3,3,14,,6,11,,1980,1000000000$, ReSearch DiRecTOR  -  Research & Development ,,1
102,102,34,no,no aplica,0,no aplica,5,2,medical,1,16960,2,0,57,2,2, laboratory technician ,4,no aplica,0,11912,1,Yes,No,14,3,3,0,1,0,3,0,15,,4,13,,1989,1000000000$,,,0
103,103,38,no,no aplica,0,no aplica,2,3,no aplica,1,18050,1,0,100,3,1, human resources ,2,divorced,0,7129,5,N/A,No,13,3,4,0,3,13,3,3,11,,3,8,,1985,1000000000$,,,1
104,104,48,no,no aplica,0,no aplica,10,3,no aplica,1,0,4,0,91,2,5, research director ,2,no aplica,0,13583,4,Yes,No,12,3,4,0,0,29,3,3,22,,12,9,,1975,1000000000$,,,0
105,105,34,no,no aplica,0, research & development ,22,4,other,1,19320,3,0,86,2,2, research scientist ,4,married,0,26496,1,N/A,Yes,15,3,2,0,0,16,3,3,15,,6,11,"5747,0",1989,1000000000$, resEaRCh SciEnTist  -  Research & Development ,,False
106,106,32,no,travel_rarely,0,no aplica,-31,4,no aplica,1,20160,31,1,48,3,3, sales executive ,4,no aplica,0,24032,1,Yes,No,19,3,3,0,2,14,3,3,14,,5,7,"10422,0",1991,1000000000$,,,Yes
107,107,29,no,travel_rarely,0,no aplica,21,4,life sciences,1,200,2,1,51,4,3, manufacturing director ,1,divorced,0,10195,1,Yes,No,11,3,3,0,1,10,1,3,10,,8,8,,1994,1000000000$,,,0
108,108,46,no,no aplica,0,no aplica,1,3,medical,1,0,3,0,40,2,3, healthcare representative ,1,married,0,3142,2,N/A,Yes,13,3,3,0,1,21,5,2,10,,9,5,,1977,1000000000$,,,False
109,109,30,no,no aplica,0, human resources ,9,3,no aplica,1,1840,3,0,48,3,2, human resources ,4,married,0,13982,0,N/A,Yes,19,3,4,80,0,0,2,1,11,,4,7,"6347,0",1993,1000000000$, hUmaN REsoUrCes  -  Human Resources ,,0
110,110,45,no,no aplica,0,no aplica,9,3,life sciences,1,2060,2,0,60,3,2, laboratory technician ,2,no aplica,0,10901,8,Yes,No,18,3,3,0,1,20,2,0,17,,0,15,"2348,0",1978,1000000000$,,,Yes
111,111,30,no,travel_rarely,0,no aplica,5,3,no aplica,1,2280,2,1,41,3,3, sales executive ,4,no aplica,0,8053,2,Yes,No,12,3,3,0,1,0,2,3,10,,7,4,,1993,1000000000$,,,True
112,112,30,no,no aplica,0,no aplica,9,3,no aplica,1,2390,3,0,66,3,2, laboratory technician ,1,no aplica,0,11012,1,Yes,No,11,0,3,80,2,12,4,3,12,,6,10,"3072,0",1993,1000000000$,,,Yes
113,113,34,no,travel_frequently,0,no aplica,-29,1,no aplica,1,2560,4,0,45,2,2, manufacturing director ,3,married,0,14074,1,N/A,N/A,17,3,3,0,0,10,2,2,10,,1,9,,1989,1000000000$,,,False
114,114,51,no,travel_rarely,0,no aplica,8,4,life sciences,1,0,2,0,81,2,3, research director ,2,married,0,15736,5,N/A,No,16,3,4,0,2,16,5,1,10,,4,7,"12490,0",1972,1000000000$,,,0
115,115,34,no,no aplica,0,no aplica,-39,4,life sciences,1,3390,39,0,84,2,2, manufacturing director ,1,no aplica,0,23687,6,N/A,N/A,13,3,2,0,1,13,3,3,11,,5,9,,1989,1000000000$,,,1
116,116,35,no,travel_rarely,0,no aplica,16,3,no aplica,1,4060,3,0,96,3,3, sales executive ,2,married,0,5100,0,Yes,N/A,15,3,3,0,2,12,3,2,11,,6,9,"8020,0",1988,1000000000$,,,1
117,117,45,no,travel_frequently,0,no aplica,7,3,life sciences,1,0,1,0,97,3,3, laboratory technician ,1,no aplica,0,20308,1,Yes,N/A,18,3,1,0,1,24,2,3,24,,9,11,,1978,1000000000$,,,Yes
118,118,39,no,no aplica,0,no aplica,10,1,no aplica,1,4290,3,0,99,3,4, manager ,1,married,0,5355,1,N/A,N/A,14,0,4,0,0,21,3,3,21,,11,10,"17068,0",1984,1000000000$,,,Yes
