,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,year_birth,role_department,remote_work
150,55,no,travel_rarely,282,,2,2,medical,1336,4,female,58,1,5, manager ,3,,19187.0,6992,4,,14,4,1,23,5,3,19,9,11,1968,,no
151,51,no,,770,,5,3,life sciences,1352,3,male,84,3,4, manager ,2,,0.0,17588,1,,11,2,1,0,2,3,33,0,10,1972,,no
152,58,yes,,601,,0,4,medical,1360,14,female,53,2,3, manufacturing director ,1,married,10008.0,12023,7,,14,4,0,0,0,2,10,5,9,1965,,no
153,48,no,,855,,4,3,life sciences,2115,4,male,54,3,3, manufacturing director ,4,single,0.0,18706,1,no,11,3,0,11,2,3,10,0,8,1975,,no
154,29,no,travel_rarely,332, human resources ,17,3,,1419,2,male,51,2,3, human resources ,1,single,7988.0,9769,1,,13,1,0,0,3,2,10,0,9,1994, human resources  -  human resources ,no
155,34,no,,1326,,3,3,other,1478,4,male,81,1,2, sales executive ,1,single,0.0,15891,3,no,18,4,0,15,2,3,13,3,12,1989,,no
156,42,no,travel_frequently,748,,9,2,,1480,1,female,74,3,1, laboratory technician ,4,,0.0,16458,1,,13,3,0,12,3,3,12,5,8,1981,,yes
157,57,no,travel_rarely,405,,1,2,life sciences,2116,2,male,93,4,2, research scientist ,3,married,0.0,2721,0,no,24,1,1,13,2,2,12,2,8,1966,,no
158,34,yes,travel_rarely,790,,24,4,,1489,1,female,40,2,2, sales executive ,2,single,0.0,7815,0,yes,23,3,0,16,2,4,15,10,10,1989,,no
159,54,no,travel_frequently,1050,,11,4,medical,1520,2,female,87,3,4, manager ,4,,0.0,24456,3,no,20,1,1,26,2,3,14,1,12,1969,,no
160,34,no,travel_rarely,971,,1,3,,1535,4,male,64,2,3, sales executive ,3,,7083.0,12288,1,,14,4,0,0,3,3,10,8,6,1989,,no
161,29,no,,1370,,3,1,medical,1586,2,male,87,3,1, laboratory technician ,1,single,4723.0,16213,1,,18,4,0,0,3,0,10,1,5,1994,,no
162,35,no,travel_rarely,750,,28,3,life sciences,1596,2,male,46,4,2, laboratory technician ,3,,3407.0,25348,1,,17,4,2,0,3,2,10,6,8,1988,,no
163,35,yes,,880,,12,4,other,1667,4,male,36,3,2, sales executive ,4,,0.0,10414,3,,24,1,0,13,2,4,11,6,7,1988,,no
164,34,no,travel_rarely,678,,19,3,life sciences,1701,2,female,35,2,1, research scientist ,4,married,2929.0,20338,1,no,12,2,0,10,3,3,10,8,7,1989,,no
165,43,no,,1179,,2,3,,1706,4,male,73,3,2, sales executive ,4,,0.0,6069,1,yes,17,1,1,10,3,3,10,8,8,1980,,no
166,58,no,non-travel,350,,2,3,medical,2117,2,male,52,3,4, manager ,2,divorced,0.0,22577,4,no,22,4,1,37,0,2,16,14,14,1965,,yes
167,36,no,travel_rarely,1266, sales ,0,4,,2118,14,female,63,2,2, sales executive ,3,married,0.0,6060,1,yes,13,1,1,10,4,3,10,1,7,1987, sales executive  -  sales ,no
168,43,no,travel_rarely,574,,11,3,life sciences,1971,1,male,30,3,3, healthcare representative ,3,married,0.0,16873,1,,17,2,1,10,1,3,10,0,9,1980,,no
